video_id,timestamp,dimensions_height,dimensions_width,video_duration,view_count,likes_count,comments_count,popularity,alternative_medicine,climate_change,covid,election,gmo,health,russia_ukraine,vaccine,tempo,loudness,spec_centroid,brightness,saturation,entropy,warmness,shotc_ps,shotd_ps,facec_ps,faced_ps,face_age_avg,face_female,face_size,face_anger_avg,face_disgust_avg,face_fear_avg,face_happiness_avg,face_sadness_avg,face_surprise_avg,n_evaluation,predicted_msv,perceived_msv,perceived_msv_high_ss,perceived_msv_low_ss,perceived_msv_high_age,perceived_msv_low_age,engagement,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
736,2020-01-24T18:42:30Z,421,750,58.566,2790,404.0,25,unpopular,0,1,0,0,0,0,0,0,123.046875,1.66e-06,2092.262761,136.4202146,137.2084983,7.176415532,0.515743255,0.290270806,0.05825504,0.221971793,0.057791473,42.93333333,1.0,0.275073829,0.629333333,3.949711111,3.125222222,14.4246,5.764755556,38.9958,9,3.94275219,4.77124183,5.31372549,4.5,5.735294118,4.495798319,0.3219,6_112,5.333333333,5.111111111,3.0,5.111111111,3.666666667,5.444444444,5.333333333,5.222222222,5.0,3.555555556,4.777777778,5.666666667,4.333333333,5.444444444,4.555555556,4.555555556,5.0
742,2023-03-03T17:41:09Z,1920,1080,27.4,663,44.0,0,unpopular,0,0,0,0,0,0,0,1,95.703125,0.036095291,1726.942837,127.7469559,60.64379562,6.619709701,0.000931,0.145985401,0.24878344,0.0,0.0,33.0,0.0,,0.704,0.003,97.126,0.007,2.154,0.003,9,3.850141058,3.464052288,3.388235294,3.558823529,4.205882353,2.870588235,0.0707,6_118,4.0,4.333333333,2.555555556,3.444444444,3.333333333,3.222222222,3.666666667,4.222222222,2.333333333,2.555555556,3.111111111,4.444444444,2.444444444,4.888888889,3.333333333,2.777777778,4.222222222
775,2022-08-22T12:43:13Z,1350,1080,5.0,231237,32788.0,253,popular,0,0,0,0,0,1,0,0,0.0,0.0,0.0,194.5711798,14.352,4.26761804,0.011010425,0.2,0.9933332,0.0,0.0,30.4,0.2,,5.887,19.2012,68.1732,0.6228,0.349,3.7176,8,3.540156959,2.926470588,1.941176471,3.254901961,3.544117647,2.308823529,26.4278,6_4,4.25,2.875,2.25,3.625,2.75,2.875,3.375,3.75,2.5,2.75,4.125,2.75,2.625,1.875,2.5,2.75,2.125
793,2022-01-18T00:28:29Z,1920,1080,27.366,52495,2444.0,135,popular,0,0,0,0,1,0,0,0,107.6660156,0.002040425,2587.662979,149.3015675,59.87569343,6.84677577,0.189890324,0.475042023,0.075706888,0.036541694,0.105970913,24.33333333,0.0,0.177606932,0.414333333,3.367,27.681,32.50533333,0.019333333,33.73166667,9,3.557919234,3.183006536,3.573529412,2.870588235,2.741176471,3.735294118,5.5074,6_56,4.444444444,3.666666667,1.222222222,3.222222222,1.666666667,4.111111111,5.111111111,4.888888889,2.222222222,2.555555556,2.888888889,3.777777778,2.333333333,2.666666667,2.222222222,3.444444444,3.666666667
799,2020-09-02T12:23:55Z,1920,1080,15.0,2571440,486936.0,9215,popular,0,1,0,0,0,0,1,0,143.5546875,0.070045069,2284.819481,109.4919737,70.9152,7.467880032,0.135559278,0.133333333,0.497777767,0.4,0.093333333,68.2,0.0,0.070415184,7.3818,21.4138,0.1652,5.5528,24.4082,3.6674,9,3.569445492,4.267973856,4.450980392,4.176470588,4.019607843,4.392156863,306.7591,6_61,5.0,4.111111111,2.444444444,5.111111111,4.333333333,4.555555556,3.777777778,4.0,4.444444444,2.666666667,4.666666667,4.333333333,4.555555556,4.777777778,5.444444444,4.888888889,3.444444444
805,2022-08-24T17:25:16Z,1333,750,38.0,1016593,116046.0,565,popular,0,1,0,0,0,0,1,0,112.3471467,0.018138457,2190.537904,90.96978186,71.59126316,7.389635226,0.4955378,0.184210526,0.141979951,0.157894737,0.152192982,27.51428571,1.0,0.161980339,0.347342857,0.195971429,2.0838,15.63531429,32.17414286,0.8722,9,3.591015893,3.928104575,4.215686275,3.784313725,3.980392157,3.901960784,113.3204,6_67,5.111111111,5.111111111,2.333333333,4.444444444,4.666666667,3.666666667,4.555555556,4.666666667,3.777777778,3.222222222,4.333333333,4.222222222,3.333333333,3.222222222,3.777777778,3.333333333,3.0
814,2022-08-01T13:01:25Z,1333,750,5.0,190894,19188.0,131,popular,1,0,0,0,0,0,0,0,123.046875,0.116723761,825.5545644,250.7967732,0.0,1.058854711,0.0,0.2,0.9933332,0.0,0.0,,,,,,,,,,7,3.170422427,2.722689076,2.470588235,2.823529412,3.019607843,2.5,21.0213,6_75,3.285714286,3.428571429,2.571428571,3.428571429,3.285714286,2.571428571,2.285714286,2.857142857,2.0,2.142857143,3.571428571,2.428571429,1.857142857,2.428571429,2.571428571,3.0,2.571428571
831,2016-02-03T19:41:21Z,344,612,14.0,298,23.0,1,unpopular,0,0,0,0,0,0,1,0,103.359375,1.1e-05,2603.383337,166.3914291,44.62106667,4.987401504,0.170731868,1.142857143,0.064499022,1.214285714,0.059723584,39.16666667,0.5,0.116993641,6.693583333,1.70125,2.44725,3.97675,9.99375,7.641833333,9,3.471889382,3.078431373,2.929411765,3.264705882,2.37254902,3.431372549,0.0322,6_90,2.555555556,2.222222222,2.222222222,2.666666667,2.333333333,2.666666667,5.0,3.888888889,2.777777778,2.333333333,3.666666667,2.444444444,2.666666667,4.444444444,3.444444444,2.777777778,4.222222222
832,2023-04-07T21:04:13Z,1919,1080,17.276,19676,379.0,2,unpopular,0,0,0,0,0,0,1,0,161.4990234,0.198703751,2207.858363,135.2128565,81.84413793,7.480745344,0.11572548,0.057883769,0.995600834,0.289418847,0.101875434,24.66666667,1.0,0.010000352,13.39433333,19.18033333,0.315833333,48.20366667,0.0915,0.281166667,8,3.548362414,3.683823529,2.470588235,4.088235294,3.960784314,3.517647059,2.0057,6_91,3.25,3.25,2.625,3.375,3.875,3.0,4.75,3.75,3.5,3.0,3.375,3.625,3.375,5.375,4.625,3.5,4.375
833,2020-10-26T16:21:14Z,1920,1080,27.633,157,37.0,19,unpopular,0,1,0,0,0,0,0,0,107.6660156,0.005201613,438.3138564,205.3301868,36.32755396,4.440090828,0.195921294,0.398074766,0.089703901,0.21713169,0.052473492,34.64285714,0.928571429,0.24523932,0.443857143,0.376928571,0.448,60.5975,2.044357143,27.76557143,9,3.363993793,2.352941176,2.323529412,2.376470588,2.482352941,2.191176471,0.0213,6_92,2.0,2.111111111,1.333333333,2.222222222,1.555555556,2.555555556,2.777777778,2.555555556,3.333333333,1.555555556,2.555555556,2.0,2.666666667,2.777777778,2.888888889,2.222222222,2.888888889
845,2017-01-06T00:10:16Z,936,750,8.48,1427,188.0,24,unpopular,0,0,0,1,0,0,0,0,92.28515625,1.74e-05,1310.542698,103.049151,87.08976744,7.433873588,0.485716695,0.117924528,0.995492335,0.117924528,0.991557547,20.88888889,0.444444444,0.076302872,0.146777778,6.446888889,0.074666667,22.93055556,6.841222222,13.711,9,2.852009079,2.379084967,3.558823529,2.042016807,2.264705882,2.470588235,0.1639,7_102,2.111111111,2.333333333,1.555555556,2.222222222,2.0,2.666666667,3.666666667,2.777777778,1.888888889,2.888888889,2.111111111,2.555555556,2.444444444,2.333333333,2.555555556,2.555555556,1.777777778
