participant_id,video_id,perceived_msv,age,gender,race,education,income,sen_seek,video_order,gender_female,race_white,survey_batch_id,unique,powerful_impact,goosebump,novel,emotional,exciting,strong_visual,creative,graphic,arousing,unusual,involving,intense,strong_soundtrack,dramatic,stimulating,strong_soundeffect
105,282,2.764705882,44,Female,White or Caucasian,6.0,2.0,4.0,5,Yes,Yes,2_28,3.0,4.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0
105,285,2.647058824,44,Female,White or Caucasian,6.0,2.0,4.0,6,Yes,Yes,2_30,1.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,1.0
106,311,2.0,46,Female,White or Caucasian,3.0,2.0,3.0,1,Yes,Yes,2_54,1.0,2.0,7.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0
107,269,4.705882353,39,Female,Black or African American,5.0,6.0,2.625,4,Yes,No,2_16,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0
109,311,6.588235294,26,Female,White or Caucasian,5.0,5.0,1.125,8,Yes,Yes,2_54,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0
110,325,6.058823529,29,Female,White or Caucasian,2.0,3.0,3.75,3,Yes,Yes,2_67,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,4.0,6.0,6.0,7.0,6.0,7.0,4.0,6.0,6.0
110,263,4.647058824,29,Female,White or Caucasian,2.0,3.0,3.75,6,Yes,Yes,2_119,6.0,4.0,1.0,2.0,1.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0
111,257,2.0,25,Male,White or Caucasian,5.0,5.0,3.5,5,No,Yes,2_113,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,2.0
113,353,4.0,26,Female,Black or African American,3.0,6.0,4.0,6,Yes,No,2_92,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
114,322,1.588235294,42,Male,Other,6.0,4.0,2.25,8,No,No,2_64,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0
115,269,3.823529412,26,Female,White or Caucasian,2.0,,2.125,10,Yes,Yes,2_16,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0
116,282,5.235294118,32,Male,White or Caucasian,5.0,4.0,2.375,1,No,Yes,2_28,7.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0
118,263,3.647058824,56,Male,White or Caucasian,5.0,2.0,4.0,5,No,Yes,2_119,4.0,2.0,1.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,2.0,6.0,4.0,6.0,4.0,3.0
119,311,4.0,68,Male,Black or African American,5.0,5.0,3.0,8,No,No,2_54,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
120,325,5.235294118,28,Male,White or Caucasian,3.0,2.0,3.25,2,No,Yes,2_67,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0
122,300,3.705882353,23,Female,Black or African American,6.0,1.0,3.5,7,Yes,No,2_44,4.0,5.0,1.0,3.0,1.0,2.0,5.0,6.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,2.0,2.0
125,340,5.235294118,60,Male,White or Caucasian,5.0,2.0,1.625,9,No,Yes,2_80,5.0,6.0,4.0,5.0,6.0,4.0,6.0,4.0,3.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,7.0
